
Area
 ==================== 
Area,Unit,Category,Time,ID,
4419.29,um^2,Surface,1,0,
2066.87,um^2,Surface,1,1,
1779.03,um^2,Surface,1,2,
1231.69,um^2,Surface,1,3,
1089.24,um^2,Surface,1,4,
15109.8,um^2,Surface,1,5,
1020.97,um^2,Surface,1,6,
3148.41,um^2,Surface,1,7,
5147.48,um^2,Surface,1,8,
810.028,um^2,Surface,1,9,
7308.09,um^2,Surface,1,10,
3685.23,um^2,Surface,1,11,
25554.9,um^2,Surface,1,12,
1283.49,um^2,Surface,1,13,
836.151,um^2,Surface,1,14,
7394.14,um^2,Surface,1,15,
3640.12,um^2,Surface,1,16,
3436.16,um^2,Surface,1,17,
4847.19,um^2,Surface,1,18,
9166.76,um^2,Surface,1,19,
5324.98,um^2,Surface,1,20,
950.448,um^2,Surface,1,21,
3518.2,um^2,Surface,1,22,
2324.74,um^2,Surface,1,23,
5344.32,um^2,Surface,1,24,
