
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
464.821,um,Surface,Distance from Origin,1,0,
387.943,um,Surface,Distance from Origin,1,1,
336.822,um,Surface,Distance from Origin,1,2,
347.576,um,Surface,Distance from Origin,1,3,
316.26,um,Surface,Distance from Origin,1,4,
300.979,um,Surface,Distance from Origin,1,5,
306.831,um,Surface,Distance from Origin,1,6,
177.649,um,Surface,Distance from Origin,1,7,
165.011,um,Surface,Distance from Origin,1,8,
205.334,um,Surface,Distance from Origin,1,9,
124.863,um,Surface,Distance from Origin,1,10,
