
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
310.383,345.65,15.713,um,Surface,Position,1,0,
337.321,191.135,13.4933,um,Surface,Position,1,1,
293.216,165.335,11.7487,um,Surface,Position,1,2,
128.462,322.606,15.2449,um,Surface,Position,1,3,
259.387,180.622,10.6908,um,Surface,Position,1,4,
208.58,216.709,10.9392,um,Surface,Position,1,5,
306.539,5.67968,12.1139,um,Surface,Position,1,6,
159.896,76.4615,12.0959,um,Surface,Position,1,7,
39.4477,159.872,10.665,um,Surface,Position,1,8,
203.885,21.0552,12.2254,um,Surface,Position,1,9,
6.81892,123.45,17.4455,um,Surface,Position,1,10,
