
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
45.3816,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
90.7185,um,Surface,Image 1,1,2,
77.7335,um,Surface,Image 1,1,3,
0,um,Surface,Image 1,1,4,
0,um,Surface,Image 1,1,5,
116.498,um,Surface,Image 1,1,6,
56.0645,um,Surface,Image 1,1,7,
53.6989,um,Surface,Image 1,1,8,
0,um,Surface,Image 1,1,9,
132.831,um,Surface,Image 1,1,10,
2.89436,um,Surface,Image 1,1,11,
0,um,Surface,Image 1,1,12,
18.0327,um,Surface,Image 1,1,13,
81.9336,um,Surface,Image 1,1,14,
