
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
816.901,,Surface,6,Image 1,1,0,
376.277,,Surface,6,Image 1,1,1,
623.072,,Surface,6,Image 1,1,2,
485.724,,Surface,6,Image 1,1,3,
202.599,,Surface,6,Image 1,1,4,
692.294,,Surface,6,Image 1,1,5,
477.105,,Surface,6,Image 1,1,6,
1303.26,,Surface,6,Image 1,1,7,
600.6,,Surface,6,Image 1,1,8,
625.701,,Surface,6,Image 1,1,9,
426.19,,Surface,6,Image 1,1,10,
498.598,,Surface,6,Image 1,1,11,
170.45,,Surface,6,Image 1,1,12,
562.532,,Surface,6,Image 1,1,13,
568.693,,Surface,6,Image 1,1,14,
