
Intensity StdDev Ch=5 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
4806.21,,Surface,5,Image 1,1,0,
2921.12,,Surface,5,Image 1,1,1,
5251.04,,Surface,5,Image 1,1,2,
2148.05,,Surface,5,Image 1,1,3,
1306.2,,Surface,5,Image 1,1,4,
3137.42,,Surface,5,Image 1,1,5,
3486.62,,Surface,5,Image 1,1,6,
6140.56,,Surface,5,Image 1,1,7,
3328.53,,Surface,5,Image 1,1,8,
2276.57,,Surface,5,Image 1,1,9,
1328.52,,Surface,5,Image 1,1,10,
3059.29,,Surface,5,Image 1,1,11,
847.888,,Surface,5,Image 1,1,12,
1655.97,,Surface,5,Image 1,1,13,
3391.35,,Surface,5,Image 1,1,14,
