
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2734.38,,Surface,1,Image 1,1,0,
2411.99,,Surface,1,Image 1,1,1,
3755.59,,Surface,1,Image 1,1,2,
1625.05,,Surface,1,Image 1,1,3,
1283.57,,Surface,1,Image 1,1,4,
2229.7,,Surface,1,Image 1,1,5,
2880.64,,Surface,1,Image 1,1,6,
4147.13,,Surface,1,Image 1,1,7,
2076.52,,Surface,1,Image 1,1,8,
1858.92,,Surface,1,Image 1,1,9,
1813.45,,Surface,1,Image 1,1,10,
2497.88,,Surface,1,Image 1,1,11,
1220.74,,Surface,1,Image 1,1,12,
1438.84,,Surface,1,Image 1,1,13,
2410.11,,Surface,1,Image 1,1,14,
