
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
75.571,,Surface,5,Image 1,1,0,
1178.28,,Surface,5,Image 1,1,1,
1023.23,,Surface,5,Image 1,1,2,
1508.33,,Surface,5,Image 1,1,3,
63.5417,,Surface,5,Image 1,1,4,
808.238,,Surface,5,Image 1,1,5,
151.274,,Surface,5,Image 1,1,6,
5929.38,,Surface,5,Image 1,1,7,
456.633,,Surface,5,Image 1,1,8,
1865.43,,Surface,5,Image 1,1,9,
934.323,,Surface,5,Image 1,1,10,
1777.41,,Surface,5,Image 1,1,11,
1180.36,,Surface,5,Image 1,1,12,
621.788,,Surface,5,Image 1,1,13,
321.929,,Surface,5,Image 1,1,14,
1909.52,,Surface,5,Image 1,1,15,
177.459,,Surface,5,Image 1,1,16,
2061.75,,Surface,5,Image 1,1,17,
1046.63,,Surface,5,Image 1,1,18,
1758.18,,Surface,5,Image 1,1,19,
1594.01,,Surface,5,Image 1,1,20,
441.784,,Surface,5,Image 1,1,21,
1434.49,,Surface,5,Image 1,1,22,
3391,,Surface,5,Image 1,1,23,
3035.78,,Surface,5,Image 1,1,24,
2231.15,,Surface,5,Image 1,1,25,
1009.01,,Surface,5,Image 1,1,26,
1294.19,,Surface,5,Image 1,1,27,
1656.08,,Surface,5,Image 1,1,28,
