
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
3117,,Surface,4,Image 1,1,0,
1156,,Surface,4,Image 1,1,1,
3095,,Surface,4,Image 1,1,2,
2268,,Surface,4,Image 1,1,3,
2891,,Surface,4,Image 1,1,4,
3303,,Surface,4,Image 1,1,5,
2299,,Surface,4,Image 1,1,6,
2776,,Surface,4,Image 1,1,7,
3239,,Surface,4,Image 1,1,8,
2185,,Surface,4,Image 1,1,9,
2668,,Surface,4,Image 1,1,10,
3049,,Surface,4,Image 1,1,11,
2714,,Surface,4,Image 1,1,12,
2710,,Surface,4,Image 1,1,13,
3198,,Surface,4,Image 1,1,14,
2938,,Surface,4,Image 1,1,15,
2853,,Surface,4,Image 1,1,16,
3150,,Surface,4,Image 1,1,17,
2947,,Surface,4,Image 1,1,18,
3273,,Surface,4,Image 1,1,19,
2311,,Surface,4,Image 1,1,20,
3118,,Surface,4,Image 1,1,21,
2810,,Surface,4,Image 1,1,22,
2823,,Surface,4,Image 1,1,23,
3238,,Surface,4,Image 1,1,24,
2063,,Surface,4,Image 1,1,25,
2708,,Surface,4,Image 1,1,26,
2983,,Surface,4,Image 1,1,27,
2628,,Surface,4,Image 1,1,28,
