
Intensity Mean Ch=8 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
125.617,,Surface,8,Image 1,1,0,
0,,Surface,8,Image 1,1,1,
8.53572,,Surface,8,Image 1,1,2,
779.761,,Surface,8,Image 1,1,3,
914.612,,Surface,8,Image 1,1,4,
217.538,,Surface,8,Image 1,1,5,
211.127,,Surface,8,Image 1,1,6,
365.929,,Surface,8,Image 1,1,7,
0,,Surface,8,Image 1,1,8,
238.525,,Surface,8,Image 1,1,9,
78.8499,,Surface,8,Image 1,1,10,
0,,Surface,8,Image 1,1,11,
42.4804,,Surface,8,Image 1,1,12,
722.561,,Surface,8,Image 1,1,13,
55.4583,,Surface,8,Image 1,1,14,
10.5366,,Surface,8,Image 1,1,15,
4.46825,,Surface,8,Image 1,1,16,
0,,Surface,8,Image 1,1,17,
0,,Surface,8,Image 1,1,18,
81.6763,,Surface,8,Image 1,1,19,
154.169,,Surface,8,Image 1,1,20,
0,,Surface,8,Image 1,1,21,
61.6557,,Surface,8,Image 1,1,22,
173.152,,Surface,8,Image 1,1,23,
4.04238,,Surface,8,Image 1,1,24,
292.379,,Surface,8,Image 1,1,25,
654.636,,Surface,8,Image 1,1,26,
0,,Surface,8,Image 1,1,27,
180.985,,Surface,8,Image 1,1,28,
