
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.16374,,Surface,1,0,
0.123903,,Surface,1,1,
0.0861355,,Surface,1,2,
0.398588,,Surface,1,3,
0.248421,,Surface,1,4,
0.614104,,Surface,1,5,
0.121225,,Surface,1,6,
0.283294,,Surface,1,7,
0.212931,,Surface,1,8,
0.180328,,Surface,1,9,
0.338187,,Surface,1,10,
0.143368,,Surface,1,11,
0.278299,,Surface,1,12,
0.311039,,Surface,1,13,
0.188804,,Surface,1,14,
0.312268,,Surface,1,15,
0.150891,,Surface,1,16,
0.171736,,Surface,1,17,
0.336761,,Surface,1,18,
0.232252,,Surface,1,19,
0.353698,,Surface,1,20,
0.399973,,Surface,1,21,
0.128296,,Surface,1,22,
0.236283,,Surface,1,23,
0.377055,,Surface,1,24,
0.273449,,Surface,1,25,
0.312092,,Surface,1,26,
