
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
336.395,310.312,14.0209,um,Surface,Position,1,0,
260.567,332.469,10.5232,um,Surface,Position,1,1,
262.181,252.374,9.72283,um,Surface,Position,1,2,
297.858,173.428,17.5297,um,Surface,Position,1,3,
339.667,167.472,10.9583,um,Surface,Position,1,4,
196.746,229.645,12.8192,um,Surface,Position,1,5,
209.789,207.414,12.8241,um,Surface,Position,1,6,
272.342,149.092,11.8886,um,Surface,Position,1,7,
161.138,234.266,12.8376,um,Surface,Position,1,8,
125.123,261.177,11.5964,um,Surface,Position,1,9,
173.644,212.695,22.5496,um,Surface,Position,1,10,
257.449,125.911,21.4996,um,Surface,Position,1,11,
345.167,13.6863,9.22651,um,Surface,Position,1,12,
92.2723,254.565,19.5587,um,Surface,Position,1,13,
184.284,168.417,9.90496,um,Surface,Position,1,14,
286.225,47.768,13.0158,um,Surface,Position,1,15,
255.045,28.2823,7.7944,um,Surface,Position,1,16,
182.324,117.424,17.3356,um,Surface,Position,1,17,
94.0387,140.713,16.0348,um,Surface,Position,1,18,
101.227,119.966,14.3167,um,Surface,Position,1,19,
43.7695,150.93,20.1659,um,Surface,Position,1,20,
8.08028,163.388,14.8324,um,Surface,Position,1,21,
73.9224,200.799,16.6121,um,Surface,Position,1,22,
19.9767,129.421,12.6612,um,Surface,Position,1,23,
79.6133,11.1715,20.4766,um,Surface,Position,1,24,
31.7806,37.1403,18.619,um,Surface,Position,1,25,
6.57746,54.3668,10.1903,um,Surface,Position,1,26,
