
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
373.21,um,Surface,Distance from Origin,1,0,
365.23,um,Surface,Distance from Origin,1,1,
295.213,um,Surface,Distance from Origin,1,2,
318.039,um,Surface,Distance from Origin,1,3,
326.076,um,Surface,Distance from Origin,1,4,
305.731,um,Surface,Distance from Origin,1,5,
275.738,um,Surface,Distance from Origin,1,6,
192.23,um,Surface,Distance from Origin,1,7,
216.829,um,Surface,Distance from Origin,1,8,
247.867,um,Surface,Distance from Origin,1,9,
131.43,um,Surface,Distance from Origin,1,10,
