ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,17210.4218,34942,601366557,601366557
ROI_0_IntensityCD31,13700.8989,34942,478736811,478736811
ROI_0_IntensityAbeta,667.3261,34942,23317710,23317710
ROI_0_aSMA_IntensityaSMA,30753.6461,18133,557655864,557655864
ROI_0_aSMA_IntensityCD31,13493.5015,18133,244677663,244677663
ROI_0_aSMA_IntensityAbeta,665.7287,18133,12071658,12071658
ROI_0_CD31_IntensityaSMA,16262.3991,30258,492067673,492067673
ROI_0_CD31_IntensityCD31,15594.9586,30258,471872258,471872258
ROI_0_CD31_IntensityAbeta,659.405,30258,19952275,19952275
ROI_0_Abeta_IntensityaSMA,14052.929,1830,25716860,25716860
ROI_0_Abeta_IntensityCD31,16895.6574,1830,30919053,30919053
ROI_0_Abeta_IntensityAbeta,5863.9421,1830,10731014,10731014
