ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,18183.4857,144721,2.6315E9,2.6315E9
ROI_0_IntensityCD31,7179.0318,144721,1038956663,1038956663
ROI_0_IntensityAbeta,3165.9561,144721,458180329,458180329
ROI_0_aSMA_IntensityaSMA,32359.362,74125,2.3986E9,2.3986E9
ROI_0_aSMA_IntensityCD31,8639.174,74125,640378770,640378770
ROI_0_aSMA_IntensityAbeta,1819.0036,74125,134833640,134833640
ROI_0_CD31_IntensityaSMA,20158.8138,85603,1725654941,1725654941
ROI_0_CD31_IntensityCD31,11692.7758,85603,1000936685,1000936685
ROI_0_CD31_IntensityAbeta,1619.0214,85603,138593091,138593091
ROI_0_Abeta_IntensityaSMA,9339.1369,19597,183019066,183019066
ROI_0_Abeta_IntensityCD31,2543.8155,19597,49851152,49851152
ROI_0_Abeta_IntensityAbeta,20267.3473,19597,397179205,397179205
