ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,18963.9193,37846,717708490,717708490
ROI_0_IntensityCD31,14765.4548,37846,558813404,558813404
ROI_0_IntensityAbeta,2123.2556,37846,80356733,80356733
ROI_1_IntensityaSMA,40292.5649,22528,907710902,907710902
ROI_1_IntensityCD31,19015.2866,22528,428376376,428376376
ROI_1_IntensityAbeta,4016.4489,22528,90482560,90482560
ROI_0_aSMA_IntensityaSMA,30632.5477,21660,663500984,663500984
ROI_0_aSMA_IntensityCD31,17229.9506,21660,373200729,373200729
ROI_0_aSMA_IntensityAbeta,2480.833,21660,53734843,53734843
ROI_0_CD31_IntensityaSMA,20759.0587,26370,547416379,547416379
ROI_0_CD31_IntensityCD31,20545.0498,26370,541772964,541772964
ROI_0_CD31_IntensityAbeta,1494.6451,26370,39413791,39413791
ROI_0_Abeta_IntensityaSMA,24515.3892,5483,134417879,134417879
ROI_0_Abeta_IntensityCD31,16565.2504,5483,90827268,90827268
ROI_0_Abeta_IntensityAbeta,13788.228,5483,75600854,75600854
ROI_1_aSMA_IntensityaSMA,42026.6956,21487,903027608,903027608
ROI_1_aSMA_IntensityCD31,19624.9465,21487,421681226,421681226
ROI_1_aSMA_IntensityAbeta,4093.6544,21487,87960353,87960353
ROI_1_CD31_IntensityaSMA,43012.4796,17703,761449926,761449926
ROI_1_CD31_IntensityCD31,23858.5679,17703,422368228,422368228
ROI_1_CD31_IntensityAbeta,3828.4894,17703,67775747,67775747
ROI_1_Abeta_IntensityaSMA,40219.8838,4873,195991494,195991494
ROI_1_Abeta_IntensityCD31,21534.7591,4873,104938881,104938881
ROI_1_Abeta_IntensityAbeta,18306.8449,4873,89209255,89209255
