ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,37471.3216,9857,369354817,369354817
ROI_0_IntensityCD31,13476.338,9857,132836264,132836264
ROI_0_IntensityAbeta,202.1997,9857,1993082,1993082
ROI_0_aSMA_IntensityaSMA,41191.6221,8854,364710622,364710622
ROI_0_aSMA_IntensityCD31,14480.5133,8854,128210465,128210465
ROI_0_aSMA_IntensityAbeta,200.6275,8854,1776356,1776356
ROI_0_CD31_IntensityaSMA,39693.2457,7940,315164371,315164371
ROI_0_CD31_IntensityCD31,16625.7355,7940,132008340,132008340
ROI_0_CD31_IntensityAbeta,200.6028,7940,1592786,1592786
