ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,10924.9482,49780,543843921,543843921
ROI_0_IntensityCD31,8548.9467,49780,425566565,425566565
ROI_0_IntensityAbeta,22.365,49780,1113329,1113329
ROI_0_aSMA_IntensityaSMA,26266.1,17127,449859495,449859495
ROI_0_aSMA_IntensityCD31,13120.859,17127,224720952,224720952
ROI_0_aSMA_IntensityAbeta,13.1787,17127,225712,225712
ROI_0_CD31_IntensityaSMA,14495.3079,26089,378168087,378168087
ROI_0_CD31_IntensityCD31,15619.3863,26089,407494170,407494170
ROI_0_CD31_IntensityAbeta,18.5999,26089,485253,485253
ROI_0_Abeta_IntensityaSMA,4777.7143,7,33444,33444
ROI_0_Abeta_IntensityCD31,1035.8571,7,7251,7251
ROI_0_Abeta_IntensityAbeta,7257.2857,7,50801,50801
