ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,36301.2098,9186,333462913,333462913
ROI_0_IntensityCD31,18019.9237,9186,165531019,165531019
ROI_0_IntensityAbeta,3279.2546,9186,30123233,30123233
ROI_0_aSMA_IntensityaSMA,44733.5941,7322,327539376,327539376
ROI_0_aSMA_IntensityCD31,17921.2266,7322,131219221,131219221
ROI_0_aSMA_IntensityAbeta,3557.984,7322,26051559,26051559
ROI_0_CD31_IntensityaSMA,35217.4326,6629,233456361,233456361
ROI_0_CD31_IntensityCD31,24849.388,6629,164726593,164726593
ROI_0_CD31_IntensityAbeta,2105.5126,6629,13957443,13957443
ROI_0_Abeta_IntensityaSMA,37945.6565,882,33468069,33468069
ROI_0_Abeta_IntensityCD31,16844.2585,882,14856636,14856636
ROI_0_Abeta_IntensityAbeta,31601.4864,882,27872511,27872511
