ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,8023.8192,40573,325550416,325550416
ROI_0_IntensityCD31,9511.4105,40573,385906459,385906459
ROI_0_IntensityAbeta,598.6385,40573,24288560,24288560
ROI_0_aSMA_IntensityaSMA,27810.1276,8708,242170591,242170591
ROI_0_aSMA_IntensityCD31,7466.0053,8708,65013974,65013974
ROI_0_aSMA_IntensityAbeta,1091.4711,8708,9504530,9504530
ROI_0_CD31_IntensityaSMA,5455.2941,32864,179282784,179282784
ROI_0_CD31_IntensityCD31,11361.0322,32864,373368963,373368963
ROI_0_CD31_IntensityAbeta,427.5445,32864,14050823,14050823
ROI_0_Abeta_IntensityaSMA,15903.9764,3219,51194900,51194900
ROI_0_Abeta_IntensityCD31,11385.3271,3219,36649368,36649368
ROI_0_Abeta_IntensityAbeta,6420.5287,3219,20667682,20667682
