ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,17756.4144,25064,445046771,445046771
ROI_0_IntensityCD31,9559.304,25064,239594396,239594396
ROI_0_IntensityAbeta,1297.4645,25064,32519650,32519650
ROI_0_aSMA_IntensityaSMA,35959.5715,11208,403034877,403034877
ROI_0_aSMA_IntensityCD31,11542.304,11208,129366143,129366143
ROI_0_aSMA_IntensityAbeta,2192.6847,11208,24575610,24575610
ROI_0_CD31_IntensityaSMA,16648.4297,19352,322180412,322180412
ROI_0_CD31_IntensityCD31,12200.0398,19352,236095170,236095170
ROI_0_CD31_IntensityAbeta,1529.794,19352,29604574,29604574
ROI_0_Abeta_IntensityaSMA,35894.7186,789,28320933,28320933
ROI_0_Abeta_IntensityCD31,12944.5539,789,10213253,10213253
ROI_0_Abeta_IntensityAbeta,32976.8504,789,26018735,26018735
