ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,16040.9778,17378,278760112,278760112
ROI_0_IntensityCD31,5653.2037,17378,98241374,98241374
ROI_0_IntensityAbeta,265.744,17378,4618099,4618099
ROI_1_IntensityaSMA,12388.3522,45753,566804276,566804276
ROI_1_IntensityCD31,8422.1387,45753,385338114,385338114
ROI_1_IntensityAbeta,213.7907,45753,9781565,9781565
ROI_0_aSMA_IntensityaSMA,27170.3542,9090,246978520,246978520
ROI_0_aSMA_IntensityCD31,8239.6473,9090,74898394,74898394
ROI_0_aSMA_IntensityAbeta,271.4139,9090,2467152,2467152
ROI_0_CD31_IntensityaSMA,18514.4003,8699,161056768,161056768
ROI_0_CD31_IntensityCD31,10722.4855,8699,93274901,93274901
ROI_0_CD31_IntensityAbeta,246.2738,8699,2142336,2142336
ROI_0_Abeta_IntensityaSMA,25977.6667,15,389665,389665
ROI_0_Abeta_IntensityCD31,560.8,15,8412,8412
ROI_0_Abeta_IntensityAbeta,8076.0667,15,121141,121141
ROI_1_aSMA_IntensityaSMA,28630.0474,16503,472481673,472481673
ROI_1_aSMA_IntensityCD31,8372.2183,16503,138166719,138166719
ROI_1_aSMA_IntensityAbeta,206.8992,16503,3414457,3414457
ROI_1_CD31_IntensityaSMA,10925.026,28767,314280222,314280222
ROI_1_CD31_IntensityCD31,13080.6661,28767,376291523,376291523
ROI_1_CD31_IntensityAbeta,211.2037,28767,6075698,6075698
