ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,24552.8687,40014,982458490,982458490
ROI_0_IntensityCD31,9446.0182,40014,377972974,377972974
ROI_0_IntensityAbeta,8327.0684,40014,333199316,333199316
ROI_1_IntensityaSMA,24152.7219,24312,587200974,587200974
ROI_1_IntensityCD31,8011.45,24312,194774373,194774373
ROI_1_IntensityAbeta,5999.9799,24312,145871512,145871512
ROI_0_aSMA_IntensityaSMA,29183.3907,32837,958295002,958295002
ROI_0_aSMA_IntensityCD31,9087.8996,32837,298419359,298419359
ROI_0_aSMA_IntensityAbeta,6587.396,32837,216310322,216310322
ROI_0_CD31_IntensityaSMA,23841.4031,32688,779327785,779327785
ROI_0_CD31_IntensityCD31,11282.983,32688,368818148,368818148
ROI_0_CD31_IntensityAbeta,9248.6209,32688,302318920,302318920
ROI_0_Abeta_IntensityaSMA,19637.3161,15297,300392024,300392024
ROI_0_Abeta_IntensityCD31,10370.2284,15297,158633384,158633384
ROI_0_Abeta_IntensityAbeta,21361.8317,15297,326771940,326771940
ROI_1_aSMA_IntensityaSMA,29124.8113,19547,569302686,569302686
ROI_1_aSMA_IntensityCD31,7461.0752,19547,145841636,145841636
ROI_1_aSMA_IntensityAbeta,5454.109,19547,106611468,106611468
ROI_1_CD31_IntensityaSMA,23202.9369,19317,448211132,448211132
ROI_1_CD31_IntensityCD31,9700.0804,19317,187376453,187376453
ROI_1_CD31_IntensityAbeta,6047.88,19317,116826898,116826898
ROI_1_Abeta_IntensityaSMA,22783.3335,7388,168323268,168323268
ROI_1_Abeta_IntensityCD31,9295.1061,7388,68672244,68672244
ROI_1_Abeta_IntensityAbeta,19202.5291,7388,141868285,141868285
