ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,14623.6613,12897,188601360,188601360
ROI_0_IntensityCD31,6358.7326,12897,82008574,82008574
ROI_0_IntensityAbeta,1187.9235,12897,15320649,15320649
ROI_1_IntensityaSMA,30224.7582,19334,584365476,584365476
ROI_1_IntensityCD31,7346.6714,19334,142040544,142040544
ROI_1_IntensityAbeta,3505.7641,19334,67780443,67780443
ROI_0_aSMA_IntensityaSMA,21180.0811,8074,171007975,171007975
ROI_0_aSMA_IntensityCD31,5253.2219,8074,42414514,42414514
ROI_0_aSMA_IntensityAbeta,850.7632,8074,6869062,6869062
ROI_0_CD31_IntensityaSMA,12477.621,8423,105099002,105099002
ROI_0_CD31_IntensityCD31,8895.5198,8423,74926963,74926963
ROI_0_CD31_IntensityAbeta,1204.3089,8423,10143894,10143894
ROI_0_Abeta_IntensityaSMA,9373.4957,1043,9776556,9776556
ROI_0_Abeta_IntensityCD31,7250.3854,1043,7562152,7562152
ROI_0_Abeta_IntensityAbeta,10090.1179,1043,10523993,10523993
ROI_1_aSMA_IntensityaSMA,31230.6253,18606,581077014,581077014
ROI_1_aSMA_IntensityCD31,7298.2527,18606,135791289,135791289
ROI_1_aSMA_IntensityAbeta,3234.2224,18606,60175942,60175942
ROI_1_CD31_IntensityaSMA,31343.1824,14225,445856770,445856770
ROI_1_CD31_IntensityCD31,9519.2987,14225,135412024,135412024
ROI_1_CD31_IntensityAbeta,3674.9837,14225,52276643,52276643
ROI_1_Abeta_IntensityaSMA,23476.7997,5118,120154261,120154261
ROI_1_Abeta_IntensityCD31,7783.7876,5118,39837425,39837425
ROI_1_Abeta_IntensityAbeta,12056.0514,5118,61702871,61702871
