ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,24797.7016,6883,170682580,170682580
ROI_0_IntensityCD31,17068.4223,6883,117481951,117481951
ROI_0_IntensityAbeta,5372.0513,6883,36975829,36975829
ROI_0_aSMA_IntensityaSMA,34067.1882,4845,165055527,165055527
ROI_0_aSMA_IntensityCD31,17602.1567,4845,85282449,85282449
ROI_0_aSMA_IntensityAbeta,5427.6008,4845,26296726,26296726
ROI_0_CD31_IntensityaSMA,24213.201,6165,149274384,149274384
ROI_0_CD31_IntensityCD31,18851.2091,6165,116217704,116217704
ROI_0_CD31_IntensityAbeta,5431.0569,6165,33482466,33482466
ROI_0_Abeta_IntensityaSMA,24020.9928,3074,73840532,73840532
ROI_0_Abeta_IntensityCD31,18315.7599,3074,56302646,56302646
ROI_0_Abeta_IntensityAbeta,11629.5706,3074,35749300,35749300
