ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,8434.3471,15861,133777180,133777180
ROI_0_IntensityCD31,4691.3231,15861,74409075,74409075
ROI_0_IntensityAbeta,807.7101,15861,12811090,12811090
ROI_0_aSMA_IntensityaSMA,14361.73,7447,106951803,106951803
ROI_0_aSMA_IntensityCD31,2964.6973,7447,22078101,22078101
ROI_0_aSMA_IntensityAbeta,569.4559,7447,4240738,4240738
ROI_0_CD31_IntensityaSMA,5743.8371,9542,54807694,54807694
ROI_0_CD31_IntensityCD31,6870.3792,9542,65557158,65557158
ROI_0_CD31_IntensityAbeta,1009.9022,9542,9636487,9636487
ROI_0_Abeta_IntensityaSMA,7572.1885,785,5944168,5944168
ROI_0_Abeta_IntensityCD31,6621.8548,785,5198156,5198156
ROI_0_Abeta_IntensityAbeta,8893.9401,785,6981743,6981743
