ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,1173.1481,27,31675,31675
ROI_0_IntensityCD31,13163.5185,27,355415,355415
ROI_0_IntensityAbeta,77.7407,27,2099,2099
ROI_1_IntensityaSMA,21336.8826,17878,381460788,381460788
ROI_1_IntensityCD31,18733.7478,17878,334921943,334921943
ROI_1_IntensityAbeta,12849.6477,17878,229726001,229726001
ROI_0_aSMA_IntensityaSMA,11367.5,2,22735,22735
ROI_0_aSMA_IntensityCD31,113,2,226,226
ROI_0_aSMA_IntensityAbeta,0,2,0,0
ROI_0_CD31_IntensityaSMA,357.6,25,8940,8940
ROI_0_CD31_IntensityCD31,14207.56,25,355189,355189
ROI_0_CD31_IntensityAbeta,83.96,25,2099,2099
ROI_1_aSMA_IntensityaSMA,31058.9287,11585,359817689,359817689
ROI_1_aSMA_IntensityCD31,19817.6047,11585,229586951,229586951
ROI_1_aSMA_IntensityAbeta,14028.5303,11585,162520524,162520524
ROI_1_CD31_IntensityaSMA,19989.8371,15333,306504173,306504173
ROI_1_CD31_IntensityCD31,21606.0799,15333,331286023,331286023
ROI_1_CD31_IntensityAbeta,12594.2774,15333,193108056,193108056
ROI_1_Abeta_IntensityaSMA,25389.5901,10049,255139991,255139991
ROI_1_Abeta_IntensityCD31,20367.7305,10049,204675324,204675324
ROI_1_Abeta_IntensityAbeta,22814.5208,10049,229263120,229263120
