ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,26408.6478,6588,173980172,173980172
ROI_0_IntensityCD31,19196.1383,6588,126464159,126464159
ROI_0_IntensityAbeta,1921.9542,6588,12661834,12661834
ROI_1_IntensityaSMA,14971.6195,63531,951161960,951161960
ROI_1_IntensityCD31,8370.874,63531,531809999,531809999
ROI_1_IntensityAbeta,2382.0646,63531,151334945,151334945
ROI_0_aSMA_IntensityaSMA,38502.105,4334,166868123,166868123
ROI_0_aSMA_IntensityCD31,19453.6461,4334,84312102,84312102
ROI_0_aSMA_IntensityAbeta,1656.4822,4334,7179194,7179194
ROI_0_CD31_IntensityaSMA,25537.7341,5837,149063754,149063754
ROI_0_CD31_IntensityCD31,21509.4908,5837,125550898,125550898
ROI_0_CD31_IntensityAbeta,2058.2405,5837,12013950,12013950
ROI_0_Abeta_IntensityaSMA,24086.3444,572,13777389,13777389
ROI_0_Abeta_IntensityCD31,15962.2045,572,9130381,9130381
ROI_0_Abeta_IntensityAbeta,21469.0752,572,12280311,12280311
ROI_1_aSMA_IntensityaSMA,23789.3855,36124,859367763,859367763
ROI_1_aSMA_IntensityCD31,7921.6762,36124,286162632,286162632
ROI_1_aSMA_IntensityAbeta,2029.5775,36124,73316457,73316457
ROI_1_CD31_IntensityaSMA,13487.0158,38252,515905327,515905327
ROI_1_CD31_IntensityCD31,12931.5364,38252,494657129,494657129
ROI_1_CD31_IntensityAbeta,2366.5188,38252,90524077,90524077
ROI_1_Abeta_IntensityaSMA,9622.1196,8403,80854671,80854671
ROI_1_Abeta_IntensityCD31,9709.1076,8403,81585631,81585631
ROI_1_Abeta_IntensityAbeta,17738.2284,8403,149054333,149054333
