ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,32533.8735,26337,856844626,856844626
ROI_0_IntensityCD31,8648.6478,26337,227779438,227779438
ROI_0_IntensityAbeta,466.1555,26337,12277138,12277138
ROI_0_aSMA_IntensityaSMA,34232.5888,24867,851261785,851261785
ROI_0_aSMA_IntensityCD31,8690.6932,24867,216111467,216111467
ROI_0_aSMA_IntensityAbeta,467.4857,24867,11624968,11624968
ROI_0_CD31_IntensityaSMA,31900.9233,20698,660285311,660285311
ROI_0_CD31_IntensityCD31,10628.4104,20698,219986839,219986839
ROI_0_CD31_IntensityAbeta,474.1217,20698,9813371,9813371
ROI_0_Abeta_IntensityaSMA,29888.6101,713,21310579,21310579
ROI_0_Abeta_IntensityCD31,8552.4783,713,6097917,6097917
ROI_0_Abeta_IntensityAbeta,4375.1992,713,3119517,3119517
