ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,7619.3358,3928,29928751,29928751
ROI_0_IntensityCD31,12151.7105,3928,47731919,47731919
ROI_0_IntensityAbeta,1068.3136,3928,4196336,4196336
ROI_1_IntensityaSMA,14782.3268,4507,66623947,66623947
ROI_1_IntensityCD31,16048.4116,4507,72330191,72330191
ROI_1_IntensityAbeta,2439.9885,4507,10997028,10997028
ROI_2_IntensityaSMA,13552.0775,106662,1445491689,1445491689
ROI_2_IntensityCD31,11438.9322,106662,1220099383,1220099383
ROI_2_IntensityAbeta,2491.3427,106662,265731598,265731598
ROI_0_aSMA_IntensityaSMA,12455.4438,1807,22506987,22506987
ROI_0_aSMA_IntensityCD31,12834.2258,1807,23191446,23191446
ROI_0_aSMA_IntensityAbeta,1214.6414,1807,2194857,2194857
ROI_0_CD31_IntensityaSMA,7608.9045,3695,28114902,28114902
ROI_0_CD31_IntensityCD31,12816.7223,3695,47357789,47357789
ROI_0_CD31_IntensityAbeta,963.1342,3695,3558781,3558781
ROI_0_Abeta_IntensityaSMA,9280.2806,506,4695822,4695822
ROI_0_Abeta_IntensityCD31,14011.7925,506,7089967,7089967
ROI_0_Abeta_IntensityAbeta,5105.7292,506,2583499,2583499
ROI_1_aSMA_IntensityaSMA,18778.5397,3302,62006738,62006738
ROI_1_aSMA_IntensityCD31,17361.3807,3302,57327279,57327279
ROI_1_aSMA_IntensityAbeta,2498.6302,3302,8250477,8250477
ROI_1_CD31_IntensityaSMA,15079.3863,4090,61674690,61674690
ROI_1_CD31_IntensityCD31,17507.3477,4090,71605052,71605052
ROI_1_CD31_IntensityAbeta,2490.9015,4090,10187787,10187787
ROI_1_Abeta_IntensityaSMA,13503.7451,1071,14462511,14462511
ROI_1_Abeta_IntensityCD31,15386.31,1071,16478738,16478738
ROI_1_Abeta_IntensityAbeta,9571.958,1071,10251567,10251567
ROI_2_aSMA_IntensityaSMA,27950.7611,44048,1231175125,1231175125
ROI_2_aSMA_IntensityCD31,11213.7772,44048,493944457,493944457
ROI_2_aSMA_IntensityAbeta,2930.3985,44048,129078192,129078192
ROI_2_CD31_IntensityaSMA,14042.6251,80042,1123999796,1123999796
ROI_2_CD31_IntensityCD31,14713.397,80042,1177689723,1177689723
ROI_2_CD31_IntensityAbeta,1534.9509,80042,122860539,122860539
ROI_2_Abeta_IntensityaSMA,10332.2932,20160,208299031,208299031
ROI_2_Abeta_IntensityCD31,8131.8587,20160,163938272,163938272
ROI_2_Abeta_IntensityAbeta,12191.9618,20160,245789950,245789950
