ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,15428.2386,9939,153341263,153341263
ROI_0_IntensityCD31,21125.8789,9939,209970110,209970110
ROI_0_IntensityAbeta,13258.4577,9939,131775811,131775811
ROI_0_aSMA_IntensityaSMA,39898.1472,3608,143952515,143952515
ROI_0_aSMA_IntensityCD31,19987.4551,3608,72114738,72114738
ROI_0_aSMA_IntensityAbeta,13618.8101,3608,49136667,49136667
ROI_0_CD31_IntensityaSMA,14023.9007,9183,128781480,128781480
ROI_0_CD31_IntensityCD31,22724.4454,9183,208678582,208678582
ROI_0_CD31_IntensityAbeta,13613.4716,9183,125012510,125012510
ROI_0_Abeta_IntensityaSMA,16290.7479,4633,75475035,75475035
ROI_0_Abeta_IntensityCD31,24630.5739,4633,114113449,114113449
ROI_0_Abeta_IntensityAbeta,28293.6169,4633,131084327,131084327
