ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0aSMA,5328.669,90824.7136,483974833,2.2104E10
ROI_0CD31,3698.1233,90824.7136,335880986,1.5340E10
ROI_0abeta,1277.9717,90824.7136,116071411,5.3011E9
ROI_0_aSMAaSMA,10133.6835,5437.7927,55104870.1,2.5167E9
ROI_0_aSMACD31,5401.1824,5437.7927,29370510.1,1341383641
ROI_0_aSMAabeta,7521.2252,5437.7927,40898863.6,1867896281
ROI_0_CD31aSMA,21995.7949,11143.9389,245119795,1.1195E10
ROI_0_CD31CD31,3458.3602,11143.9389,38539754.8,1760153176
ROI_0_CD31abeta,2451.6177,11143.9389,27320677.3,1247765513
ROI_0_AbetaaSMA,5732.7913,9995.1819,57300292,2.6170E9
ROI_0_AbetaCD31,15052.8579,9995.1819,150456053,6.8715E9
ROI_0_Abetaabeta,1769.6381,9995.1819,17687854.4,807823851
