ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0aSMA,4473.6517,90749.3268,405980881,1.8542E10
ROI_0CD31,2613.711,90749.3268,237192510,1.0833E10
ROI_0abeta,1290.6023,90749.3268,117121292,5.3491E9
ROI_1aSMA,4463.1851,91558.5474,408642749,1.8663E10
ROI_1CD31,2636.7619,91558.5474,241418087,1.1026E10
ROI_1abeta,1286.6726,91558.5474,117805875,5.3803E9
ROI_2aSMA,4466.5908,91586.5301,409079554,1.8683E10
ROI_2CD31,2633.7811,91586.5301,241218874,1.1017E10
ROI_2abeta,1287.1289,91586.5301,117883667,5.3839E9
ROI_0_aSMAaSMA,9418.1293,5674.3099,53441384,2.4407E9
ROI_0_aSMACD31,5965.8998,5674.3099,33852364.3,1546074871
ROI_0_aSMAabeta,8080.5636,5674.3099,45851621.8,2094094216
ROI_0_CD31aSMA,20798.4025,8777.2127,182552003,8.3374E9
ROI_0_CD31CD31,4529.4855,8777.2127,39756257.4,1815712191
ROI_0_CD31abeta,2850.5591,8777.2127,25019963.8,1142689386
ROI_0_AbetaaSMA,5981.3612,12039.5599,72012957,3.2889E9
ROI_0_AbetaCD31,12338.5808,12039.5599,148551083,6.7845E9
ROI_0_Abetaabeta,1911.8055,12039.5599,23017297.2,1051225387
ROI_1_aSMAaSMA,10437.5303,4865.0892,50779516.3,2.3192E9
ROI_1_aSMACD31,6089.6699,4865.0892,29626787.3,1353088103
ROI_1_aSMAabeta,9283.9076,4865.0892,45167038.9,2062828560
ROI_1_CD31aSMA,22576.5956,7967.9921,179890135,8.2158E9
ROI_1_CD31CD31,4459.1762,7967.9921,35530680.4,1622725423
ROI_1_CD31abeta,3054.1422,7967.9921,24335381,1111423730
ROI_1_AbetaaSMA,6150.8776,11345.8828,69787136.6,3.1873E9
ROI_1_AbetaCD31,12970.8268,11345.8828,147165481,6.7212E9
ROI_1_Abetaabeta,1981.429,11345.8828,22481061.3,1026734903
ROI_2_aSMAaSMA,10407.6085,4837.1066,50342711.2,2.2992E9
ROI_2_aSMACD31,6166.083,4837.1066,29826000.7,1362186398
ROI_2_aSMAabeta,9321.5326,4837.1066,45089246.5,2059275697
ROI_2_CD31aSMA,22601.1483,7940.0094,179453330,8.1958E9
ROI_2_CD31CD31,4499.9813,7940.0094,35729893.8,1631823718
ROI_2_CD31abeta,3055.1083,7940.0094,24257588.6,1107870867
ROI_2_AbetaaSMA,6129.9336,11323.1989,69410457.6,3.1701E9
ROI_2_AbetaCD31,12993.9421,11323.1989,147132990,6.7197E9
ROI_2_Abetaabeta,1980.1922,11323.1989,22422109.9,1024042529
