ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,9051.875,16558,149880946,149880946
ROI_0_IntensityCD31,5910.1835,16558,97860819,97860819
ROI_0_IntensityAbeta,329.3674,16558,5453666,5453666
ROI_1_IntensityaSMA,13201.5471,2846,37571603,37571603
ROI_1_IntensityCD31,3699.0119,2846,10527388,10527388
ROI_1_IntensityAbeta,94.2649,2846,268278,268278
ROI_0_aSMA_IntensityaSMA,16059.9982,7339,117864327,117864327
ROI_0_aSMA_IntensityCD31,3988.2334,7339,29269645,29269645
ROI_0_aSMA_IntensityAbeta,238.9462,7339,1753626,1753626
ROI_0_CD31_IntensityaSMA,7459.665,10492,78266805,78266805
ROI_0_CD31_IntensityCD31,8381.9287,10492,87943196,87943196
ROI_0_CD31_IntensityAbeta,412.2083,10492,4324889,4324889
ROI_0_Abeta_IntensityaSMA,5641.4593,492,2775598,2775598
ROI_0_Abeta_IntensityCD31,7161.9146,492,3523662,3523662
ROI_0_Abeta_IntensityAbeta,7168.9126,492,3527105,3527105
ROI_1_aSMA_IntensityaSMA,19459.454,1738,33820531,33820531
ROI_1_aSMA_IntensityCD31,2675.2008,1738,4649499,4649499
ROI_1_aSMA_IntensityAbeta,90.7762,1738,157769,157769
ROI_1_CD31_IntensityaSMA,11743.5418,1484,17427416,17427416
ROI_1_CD31_IntensityCD31,6030.7278,1484,8949600,8949600
ROI_1_CD31_IntensityAbeta,91.1577,1484,135278,135278
