ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,19453.3937,33650,654606697,654606697
ROI_0_IntensityCD31,14563.8788,33650,490074520,490074520
ROI_0_IntensityAbeta,400.1974,33650,13466641,13466641
ROI_1_IntensityaSMA,22291.0401,42919,956709152,956709152
ROI_1_IntensityCD31,14493.993,42919,622067684,622067684
ROI_1_IntensityAbeta,3888.1795,42919,166876777,166876777
ROI_0_aSMA_IntensityaSMA,26151.1813,23563,616200285,616200285
ROI_0_aSMA_IntensityCD31,14975.577,23563,352869520,352869520
ROI_0_aSMA_IntensityAbeta,361.8138,23563,8525419,8525419
ROI_0_CD31_IntensityaSMA,19029.2145,30133,573407321,573407321
ROI_0_CD31_IntensityCD31,16061.5389,30133,483982351,483982351
ROI_0_CD31_IntensityAbeta,411.6329,30133,12403733,12403733
ROI_0_Abeta_IntensityaSMA,19749.0946,1532,30255613,30255613
ROI_0_Abeta_IntensityCD31,13346.5933,1532,20446981,20446981
ROI_0_Abeta_IntensityAbeta,8650.7794,1532,13252994,13252994
ROI_1_aSMA_IntensityaSMA,29900.0074,30665,916883726,916883726
ROI_1_aSMA_IntensityCD31,14666.4371,30665,449746293,449746293
ROI_1_aSMA_IntensityAbeta,3866.7104,30665,118572675,118572675
ROI_1_CD31_IntensityaSMA,22064.3327,36431,803825706,803825706
ROI_1_CD31_IntensityCD31,16830.2694,36431,613143543,613143543
ROI_1_CD31_IntensityAbeta,3577.1896,36431,130320594,130320594
ROI_1_Abeta_IntensityaSMA,19672.0959,9643,189698021,189698021
ROI_1_Abeta_IntensityCD31,13311.0857,9643,128358799,128358799
ROI_1_Abeta_IntensityAbeta,17180.4451,9643,165671032,165671032
