ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,27732.2724,5727,158822724,158822724
ROI_0_IntensityCD31,13710.8615,5727,78522104,78522104
ROI_0_IntensityAbeta,86.6256,5727,496105,496105
ROI_1_IntensityaSMA,25951.2507,23399,607233316,607233316
ROI_1_IntensityCD31,13456.9166,23399,314878392,314878392
ROI_1_IntensityAbeta,158.1936,23399,3701573,3701573
ROI_0_aSMA_IntensityaSMA,34953.8565,4347,151944414,151944414
ROI_0_aSMA_IntensityCD31,15315.9998,4347,66578651,66578651
ROI_0_aSMA_IntensityAbeta,78.3943,4347,340780,340780
ROI_0_CD31_IntensityaSMA,30140.1563,4524,136354067,136354067
ROI_0_CD31_IntensityCD31,17226.235,4524,77931487,77931487
ROI_0_CD31_IntensityAbeta,77.9494,4524,352643,352643
ROI_1_aSMA_IntensityaSMA,34645.7787,16628,576090008,576090008
ROI_1_aSMA_IntensityCD31,14953.4653,16628,248646221,248646221
ROI_1_aSMA_IntensityAbeta,147.0481,16628,2445116,2445116
ROI_1_CD31_IntensityaSMA,26642.9145,16592,442059238,442059238
ROI_1_CD31_IntensityCD31,18776.1548,16592,311533960,311533960
ROI_1_CD31_IntensityAbeta,131.1721,16592,2176408,2176408
ROI_1_Abeta_IntensityaSMA,17090.7091,55,939989,939989
ROI_1_Abeta_IntensityCD31,563.9455,55,31017,31017
ROI_1_Abeta_IntensityAbeta,8702.9091,55,478660,478660
