ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,26434.6869,13887,367098497,367098497
ROI_0_IntensityCD31,7710.7891,13887,107079728,107079728
ROI_0_IntensityAbeta,1696.952,13887,23565572,23565572
ROI_1_IntensityaSMA,22591.1331,4907,110854690,110854690
ROI_1_IntensityCD31,6750.923,4907,33126779,33126779
ROI_1_IntensityAbeta,9907.6108,4907,48616646,48616646
ROI_2_IntensityaSMA,13794.5336,22670,312722076,312722076
ROI_2_IntensityCD31,5682.1844,22670,128815120,128815120
ROI_2_IntensityAbeta,7026.028,22670,159280055,159280055
ROI_0_aSMA_IntensityaSMA,33678.7088,10450,351942507,351942507
ROI_0_aSMA_IntensityCD31,9285.1373,10450,97029685,97029685
ROI_0_aSMA_IntensityAbeta,1834.0254,10450,19165565,19165565
ROI_0_CD31_IntensityaSMA,30555.6146,9304,284289438,284289438
ROI_0_CD31_IntensityCD31,11261.9697,9304,104781366,104781366
ROI_0_CD31_IntensityAbeta,1842.5814,9304,17143377,17143377
ROI_0_Abeta_IntensityaSMA,26939.704,669,18022662,18022662
ROI_0_Abeta_IntensityCD31,6038.429,669,4039709,4039709
ROI_0_Abeta_IntensityAbeta,33333.3109,669,22299985,22299985
ROI_1_aSMA_IntensityaSMA,37006.0696,2816,104209092,104209092
ROI_1_aSMA_IntensityCD31,7653.5934,2816,21552519,21552519
ROI_1_aSMA_IntensityAbeta,10890.2195,2816,30666858,30666858
ROI_1_CD31_IntensityaSMA,21728.4789,3322,72182007,72182007
ROI_1_CD31_IntensityCD31,9639.5057,3322,32022438,32022438
ROI_1_CD31_IntensityAbeta,7023.9211,3322,23333466,23333466
ROI_1_Abeta_IntensityaSMA,27048.0893,1456,39382018,39382018
ROI_1_Abeta_IntensityCD31,6019.1587,1456,8763895,8763895
ROI_1_Abeta_IntensityAbeta,32505.6758,1456,47328264,47328264
ROI_2_aSMA_IntensityaSMA,28699.32,9042,259499251,259499251
ROI_2_aSMA_IntensityCD31,9639.1776,9042,87157444,87157444
ROI_2_aSMA_IntensityAbeta,6787.236,9042,61370188,61370188
ROI_2_CD31_IntensityaSMA,18828.5003,9708,182787081,182787081
ROI_2_CD31_IntensityCD31,12611.279,9708,122430297,122430297
ROI_2_CD31_IntensityAbeta,7427.2166,9708,72103419,72103419
ROI_2_Abeta_IntensityaSMA,13717.9584,5145,70578896,70578896
ROI_2_Abeta_IntensityCD31,4612.9364,5145,23733558,23733558
ROI_2_Abeta_IntensityAbeta,29787.9397,5145,153258950,153258950
