ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,32615.7136,49078,1600713992,1600713992
ROI_0_IntensityCD31,6465.2465,49078,317301369,317301369
ROI_0_IntensityAbeta,3963.9274,49078,194541630,194541630
ROI_1_IntensityaSMA,37350.8946,13472,503191252,503191252
ROI_1_IntensityCD31,7861.4124,13472,105908948,105908948
ROI_1_IntensityAbeta,1760.3135,13472,23714944,23714944
ROI_0_aSMA_IntensityaSMA,35239.304,45005,1585944878,1585944878
ROI_0_aSMA_IntensityCD31,6407.1073,45005,288351862,288351862
ROI_0_aSMA_IntensityAbeta,3558.9702,45005,160171455,160171455
ROI_0_CD31_IntensityaSMA,32772.911,35850,1174908858,1174908858
ROI_0_CD31_IntensityCD31,8237.5229,35850,295315196,295315196
ROI_0_CD31_IntensityAbeta,4479.6203,35850,160594389,160594389
ROI_0_Abeta_IntensityaSMA,29033.0426,14393,417872582,417872582
ROI_0_Abeta_IntensityCD31,8351.6186,14393,120204847,120204847
ROI_0_Abeta_IntensityAbeta,12793.4212,14393,184135712,184135712
ROI_1_aSMA_IntensityaSMA,39423.403,12723,501583957,501583957
ROI_1_aSMA_IntensityCD31,7761.3486,12723,98747638,98747638
ROI_1_aSMA_IntensityAbeta,1700.2023,12723,21631674,21631674
ROI_1_CD31_IntensityaSMA,37531.5162,10776,404439619,404439619
ROI_1_CD31_IntensityCD31,9461.3989,10776,101956035,101956035
ROI_1_CD31_IntensityAbeta,1734.152,10776,18687222,18687222
ROI_1_Abeta_IntensityaSMA,34289.5866,2201,75471380,75471380
ROI_1_Abeta_IntensityCD31,10067.9109,2201,22159472,22159472
ROI_1_Abeta_IntensityAbeta,9468.9,2201,20841049,20841049
