ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0aSMA,2786.8919,91718.3421,255609104,1.1674E10
ROI_0CD31,1653.1134,91718.3421,151620824,6.9247E9
ROI_0abeta,1178.3392,91718.3421,108075321,4.9359E9
ROI_0_aSMAaSMA,5868.183,3035.6831,17813943.9,813582495
ROI_0_aSMACD31,6716.0075,3035.6831,20387670.4,931127427
ROI_0_aSMAabeta,9863.8542,3035.6831,29943535.5,1367554343
ROI_0_CD31aSMA,18458.6185,6138.8925,113315474,5.1752E9
ROI_0_CD31CD31,7842.226,6138.8925,48142582,2.1987E9
ROI_0_CD31abeta,2241.5742,6138.8925,13760783.1,628470163
ROI_0_AbetaaSMA,6691.163,2122.6988,14203323.9,648681490
ROI_0_AbetaCD31,25770.5564,2122.6988,54703129.7,2.4984E9
ROI_0_Abetaabeta,2610.4679,2122.6988,5541237.07,253074418
