ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,17800.1336,26243,467128906,467128906
ROI_0_IntensityCD31,12277.053,26243,322186701,322186701
ROI_0_IntensityAbeta,95.2689,26243,2500143,2500143
ROI_0_aSMA_IntensityaSMA,34101.9889,12749,434766256,434766256
ROI_0_aSMA_IntensityCD31,13163.3212,12749,167819182,167819182
ROI_0_aSMA_IntensityAbeta,60.0726,12749,765865,765865
ROI_0_CD31_IntensityaSMA,16213.9298,21969,356203824,356203824
ROI_0_CD31_IntensityCD31,14549.4078,21969,319635941,319635941
ROI_0_CD31_IntensityAbeta,93.0723,21969,2044706,2044706
ROI_0_Abeta_IntensityaSMA,3654.3077,13,47506,47506
ROI_0_Abeta_IntensityCD31,8058.0769,13,104755,104755
ROI_0_Abeta_IntensityAbeta,20273.6923,13,263558,263558
