ROIname,Stuff intensity,Area,IntDen,RawIntDen
ROI_0_IntensityaSMA,20481.6519,28730,588437858,588437858
ROI_0_IntensityCD31,17991.5586,28730,516897480,516897480
ROI_0_IntensityAbeta,1504.227,28730,43216443,43216443
ROI_0_aSMA_IntensityaSMA,25593.2678,21964,562130535,562130535
ROI_0_aSMA_IntensityCD31,18799.6986,21964,412916580,412916580
ROI_0_aSMA_IntensityAbeta,1130.0826,21964,24821134,24821134
ROI_0_CD31_IntensityaSMA,21119.6328,25409,536628749,536628749
ROI_0_CD31_IntensityCD31,20147.9053,25409,511938126,511938126
ROI_0_CD31_IntensityAbeta,1657.6095,25409,42118199,42118199
ROI_0_Abeta_IntensityaSMA,14060.3,3507,49309472,49309472
ROI_0_Abeta_IntensityCD31,20180.7485,3507,70773885,70773885
ROI_0_Abeta_IntensityAbeta,11692.0083,3507,41003873,41003873
