
Intensity StdDev Ch=8 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
13.5239,,Surface,8,Image 1,1,0,
4636.6,,Surface,8,Image 1,1,1,
348.325,,Surface,8,Image 1,1,2,
2055.11,,Surface,8,Image 1,1,3,
0,,Surface,8,Image 1,1,4,
4442.4,,Surface,8,Image 1,1,5,
0,,Surface,8,Image 1,1,6,
0,,Surface,8,Image 1,1,7,
1633.48,,Surface,8,Image 1,1,8,
0,,Surface,8,Image 1,1,9,
878.484,,Surface,8,Image 1,1,10,
634.963,,Surface,8,Image 1,1,11,
399.264,,Surface,8,Image 1,1,12,
1989.04,,Surface,8,Image 1,1,13,
2507.32,,Surface,8,Image 1,1,14,
269.935,,Surface,8,Image 1,1,15,
0,,Surface,8,Image 1,1,16,
1123.19,,Surface,8,Image 1,1,17,
2049.09,,Surface,8,Image 1,1,18,
0,,Surface,8,Image 1,1,19,
1744.72,,Surface,8,Image 1,1,20,
0,,Surface,8,Image 1,1,21,
