
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
17.5519,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
81.2916,um,Surface,Image 1,1,2,
99.7336,um,Surface,Image 1,1,3,
77.3495,um,Surface,Image 1,1,4,
51.4458,um,Surface,Image 1,1,5,
30.0842,um,Surface,Image 1,1,6,
13.3862,um,Surface,Image 1,1,7,
26.9586,um,Surface,Image 1,1,8,
59.8632,um,Surface,Image 1,1,9,
74.6231,um,Surface,Image 1,1,10,
0,um,Surface,Image 1,1,11,
91.5818,um,Surface,Image 1,1,12,
125.46,um,Surface,Image 1,1,13,
0,um,Surface,Image 1,1,14,
38.12,um,Surface,Image 1,1,15,
0,um,Surface,Image 1,1,16,
83.4523,um,Surface,Image 1,1,17,
3.72735,um,Surface,Image 1,1,18,
0,um,Surface,Image 1,1,19,
4.42804,um,Surface,Image 1,1,20,
0,um,Surface,Image 1,1,21,
