
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
307.863,311.492,14.184,um,Surface,Position,1,0,
335.769,135.708,15.3451,um,Surface,Position,1,1,
258.365,191.557,6.75334,um,Surface,Position,1,2,
229.393,213.356,10.1363,um,Surface,Position,1,3,
188.36,248.065,7.96356,um,Surface,Position,1,4,
284.672,118.964,11.0493,um,Surface,Position,1,5,
310.263,68.5211,13.1821,um,Surface,Position,1,6,
32.5486,317.254,15.6868,um,Surface,Position,1,7,
131.55,274.892,9.10569,um,Surface,Position,1,8,
66.9412,258.487,12.6045,um,Surface,Position,1,9,
90.0739,247.295,7.56812,um,Surface,Position,1,10,
324.565,14.6952,7.48321,um,Surface,Position,1,11,
226.186,121.62,11.2542,um,Surface,Position,1,12,
147.384,163.188,15.7501,um,Surface,Position,1,13,
22.7371,274.704,10.806,um,Surface,Position,1,14,
55.815,195.759,7.60506,um,Surface,Position,1,15,
16.5703,210.043,15.7872,um,Surface,Position,1,16,
99.1832,94.8461,10.9053,um,Surface,Position,1,17,
124.654,31.0898,6.45108,um,Surface,Position,1,18,
88.3885,7.07029,16.3941,um,Surface,Position,1,19,
40.7675,116.09,11.6121,um,Surface,Position,1,20,
27.5838,60.8963,11.6877,um,Surface,Position,1,21,
