
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
56,,Surface,2,Image 1,1,0,
76,,Surface,2,Image 1,1,1,
98,,Surface,2,Image 1,1,2,
28,,Surface,2,Image 1,1,3,
67,,Surface,2,Image 1,1,4,
79,,Surface,2,Image 1,1,5,
61,,Surface,2,Image 1,1,6,
52,,Surface,2,Image 1,1,7,
51,,Surface,2,Image 1,1,8,
100,,Surface,2,Image 1,1,9,
89,,Surface,2,Image 1,1,10,
60,,Surface,2,Image 1,1,11,
39,,Surface,2,Image 1,1,12,
27,,Surface,2,Image 1,1,13,
85,,Surface,2,Image 1,1,14,
89,,Surface,2,Image 1,1,15,
60,,Surface,2,Image 1,1,16,
99,,Surface,2,Image 1,1,17,
140,,Surface,2,Image 1,1,18,
83,,Surface,2,Image 1,1,19,
34,,Surface,2,Image 1,1,20,
53,,Surface,2,Image 1,1,21,
