
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.269736,,Surface,1,0,
0.0287702,,Surface,1,1,
0.5325,,Surface,1,2,
0.34083,,Surface,1,3,
0.669311,,Surface,1,4,
0.576374,,Surface,1,5,
0.1114,,Surface,1,6,
0.286494,,Surface,1,7,
0.324811,,Surface,1,8,
0.177135,,Surface,1,9,
0.304297,,Surface,1,10,
0.152532,,Surface,1,11,
0.341206,,Surface,1,12,
0.26718,,Surface,1,13,
0.143707,,Surface,1,14,
0.239703,,Surface,1,15,
0.231003,,Surface,1,16,
0.168265,,Surface,1,17,
0.146145,,Surface,1,18,
0.539447,,Surface,1,19,
0.200474,,Surface,1,20,
