
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.441671,,Surface,1,0,
0.305596,,Surface,1,1,
0.628135,,Surface,1,2,
0.523371,,Surface,1,3,
0.443346,,Surface,1,4,
0.499842,,Surface,1,5,
0.308326,,Surface,1,6,
0.591387,,Surface,1,7,
0.565157,,Surface,1,8,
0.619072,,Surface,1,9,
0.584365,,Surface,1,10,
0.316306,,Surface,1,11,
0.542019,,Surface,1,12,
0.425103,,Surface,1,13,
0.569738,,Surface,1,14,
0.384472,,Surface,1,15,
0.424879,,Surface,1,16,
0.376523,,Surface,1,17,
0.370995,,Surface,1,18,
0.394412,,Surface,1,19,
0.425429,,Surface,1,20,
