
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
1199,,Surface,4,Image 1,1,0,
1269,,Surface,4,Image 1,1,1,
1381,,Surface,4,Image 1,1,2,
1398,,Surface,4,Image 1,1,3,
1354,,Surface,4,Image 1,1,4,
1325,,Surface,4,Image 1,1,5,
813,,Surface,4,Image 1,1,6,
1410,,Surface,4,Image 1,1,7,
1177,,Surface,4,Image 1,1,8,
1333,,Surface,4,Image 1,1,9,
1362,,Surface,4,Image 1,1,10,
1443,,Surface,4,Image 1,1,11,
1153,,Surface,4,Image 1,1,12,
1439,,Surface,4,Image 1,1,13,
1523,,Surface,4,Image 1,1,14,
1256,,Surface,4,Image 1,1,15,
1149,,Surface,4,Image 1,1,16,
1137,,Surface,4,Image 1,1,17,
1246,,Surface,4,Image 1,1,18,
1225,,Surface,4,Image 1,1,19,
1370,,Surface,4,Image 1,1,20,
