
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
14,,Surface,2,Image 1,1,0,
29,,Surface,2,Image 1,1,1,
26,,Surface,2,Image 1,1,2,
26,,Surface,2,Image 1,1,3,
24,,Surface,2,Image 1,1,4,
37,,Surface,2,Image 1,1,5,
13,,Surface,2,Image 1,1,6,
10,,Surface,2,Image 1,1,7,
21,,Surface,2,Image 1,1,8,
5,,Surface,2,Image 1,1,9,
36,,Surface,2,Image 1,1,10,
18,,Surface,2,Image 1,1,11,
34,,Surface,2,Image 1,1,12,
27,,Surface,2,Image 1,1,13,
24,,Surface,2,Image 1,1,14,
1,,Surface,2,Image 1,1,15,
6,,Surface,2,Image 1,1,16,
17,,Surface,2,Image 1,1,17,
9,,Surface,2,Image 1,1,18,
11,,Surface,2,Image 1,1,19,
4,,Surface,2,Image 1,1,20,
