
Area
 ==================== 
Area,Unit,Category,Time,ID,
7935.53,um^2,Surface,1,0,
1909.53,um^2,Surface,1,1,
1314.06,um^2,Surface,1,2,
2673.57,um^2,Surface,1,3,
2069.09,um^2,Surface,1,4,
1055.22,um^2,Surface,1,5,
13349.8,um^2,Surface,1,6,
1110.38,um^2,Surface,1,7,
3270.24,um^2,Surface,1,8,
2689.42,um^2,Surface,1,9,
931.422,um^2,Surface,1,10,
2970.01,um^2,Surface,1,11,
1499.86,um^2,Surface,1,12,
1775.56,um^2,Surface,1,13,
985.512,um^2,Surface,1,14,
4720.56,um^2,Surface,1,15,
4219.91,um^2,Surface,1,16,
2840.1,um^2,Surface,1,17,
7942.38,um^2,Surface,1,18,
4164,um^2,Surface,1,19,
4258.87,um^2,Surface,1,20,
