
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
117,,Surface,3,Image 1,1,0,
269,,Surface,3,Image 1,1,1,
207,,Surface,3,Image 1,1,2,
197,,Surface,3,Image 1,1,3,
201,,Surface,3,Image 1,1,4,
173,,Surface,3,Image 1,1,5,
120,,Surface,3,Image 1,1,6,
192,,Surface,3,Image 1,1,7,
176,,Surface,3,Image 1,1,8,
138,,Surface,3,Image 1,1,9,
169,,Surface,3,Image 1,1,10,
127,,Surface,3,Image 1,1,11,
246,,Surface,3,Image 1,1,12,
157,,Surface,3,Image 1,1,13,
133,,Surface,3,Image 1,1,14,
142,,Surface,3,Image 1,1,15,
140,,Surface,3,Image 1,1,16,
132,,Surface,3,Image 1,1,17,
123,,Surface,3,Image 1,1,18,
195,,Surface,3,Image 1,1,19,
198,,Surface,3,Image 1,1,20,
