
Intensity StdDev Ch=8 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
818.126,,Surface,8,Image 1,1,0,
556.362,,Surface,8,Image 1,1,1,
488.599,,Surface,8,Image 1,1,2,
287.88,,Surface,8,Image 1,1,3,
1566.49,,Surface,8,Image 1,1,4,
633.355,,Surface,8,Image 1,1,5,
840.676,,Surface,8,Image 1,1,6,
155.806,,Surface,8,Image 1,1,7,
858.656,,Surface,8,Image 1,1,8,
1889.79,,Surface,8,Image 1,1,9,
0,,Surface,8,Image 1,1,10,
1330.2,,Surface,8,Image 1,1,11,
153.989,,Surface,8,Image 1,1,12,
0,,Surface,8,Image 1,1,13,
615.226,,Surface,8,Image 1,1,14,
798.562,,Surface,8,Image 1,1,15,
0,,Surface,8,Image 1,1,16,
