
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
1880.89,,Surface,4,Image 1,1,0,
9024.87,,Surface,4,Image 1,1,1,
8675,,Surface,4,Image 1,1,2,
6425.04,,Surface,4,Image 1,1,3,
5446.3,,Surface,4,Image 1,1,4,
6136.76,,Surface,4,Image 1,1,5,
9935.88,,Surface,4,Image 1,1,6,
3798.78,,Surface,4,Image 1,1,7,
8139.04,,Surface,4,Image 1,1,8,
3748.31,,Surface,4,Image 1,1,9,
7396.23,,Surface,4,Image 1,1,10,
6219.12,,Surface,4,Image 1,1,11,
6086.45,,Surface,4,Image 1,1,12,
4239.94,,Surface,4,Image 1,1,13,
