
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2294.37,,Surface,3,Image 1,1,0,
4276.5,,Surface,3,Image 1,1,1,
7749.79,,Surface,3,Image 1,1,2,
4074.36,,Surface,3,Image 1,1,3,
5577.21,,Surface,3,Image 1,1,4,
5620.9,,Surface,3,Image 1,1,5,
5218.07,,Surface,3,Image 1,1,6,
7685.2,,Surface,3,Image 1,1,7,
5341.12,,Surface,3,Image 1,1,8,
3892.73,,Surface,3,Image 1,1,9,
4565.75,,Surface,3,Image 1,1,10,
4782.65,,Surface,3,Image 1,1,11,
4061.77,,Surface,3,Image 1,1,12,
3101.26,,Surface,3,Image 1,1,13,
