
Shortest Distance to Surfaces Surfaces=Surfaces 2
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,ID,
10.6283,,Surface,Surfaces 2,1,0,
0,,Surface,Surfaces 2,1,1,
5.66992,,Surface,Surfaces 2,1,2,
0,,Surface,Surfaces 2,1,3,
0,,Surface,Surfaces 2,1,4,
0.694045,,Surface,Surfaces 2,1,5,
0,,Surface,Surfaces 2,1,6,
13.1491,,Surface,Surfaces 2,1,7,
0.323367,,Surface,Surfaces 2,1,8,
1.63391,,Surface,Surfaces 2,1,9,
0,,Surface,Surfaces 2,1,10,
0,,Surface,Surfaces 2,1,11,
0.283673,,Surface,Surfaces 2,1,12,
0,,Surface,Surfaces 2,1,13,
