
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
3.32384e+08,,Surface,2,Image 1,1,0,
1.42762e+08,,Surface,2,Image 1,1,1,
1.49941e+08,,Surface,2,Image 1,1,2,
4.57762e+08,,Surface,2,Image 1,1,3,
2.81601e+08,,Surface,2,Image 1,1,4,
7.36358e+07,,Surface,2,Image 1,1,5,
2.64152e+08,,Surface,2,Image 1,1,6,
1.05206e+08,,Surface,2,Image 1,1,7,
1.46853e+09,,Surface,2,Image 1,1,8,
3.25835e+08,,Surface,2,Image 1,1,9,
3.08788e+08,,Surface,2,Image 1,1,10,
3.56331e+08,,Surface,2,Image 1,1,11,
9.44725e+07,,Surface,2,Image 1,1,12,
2.27121e+09,,Surface,2,Image 1,1,13,
4.41178e+08,,Surface,2,Image 1,1,14,
