
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
429.993,um,Surface,Distance from Origin,1,0,
337.296,um,Surface,Distance from Origin,1,1,
328.229,um,Surface,Distance from Origin,1,2,
352.598,um,Surface,Distance from Origin,1,3,
355.729,um,Surface,Distance from Origin,1,4,
353.259,um,Surface,Distance from Origin,1,5,
308.87,um,Surface,Distance from Origin,1,6,
300.877,um,Surface,Distance from Origin,1,7,
286.545,um,Surface,Distance from Origin,1,8,
259.322,um,Surface,Distance from Origin,1,9,
236.558,um,Surface,Distance from Origin,1,10,
274.109,um,Surface,Distance from Origin,1,11,
235.851,um,Surface,Distance from Origin,1,12,
217.766,um,Surface,Distance from Origin,1,13,
190.871,um,Surface,Distance from Origin,1,14,
