
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
17.506,um,Surface,Image 1,1,0,
63.7884,um,Surface,Image 1,1,1,
72.3045,um,Surface,Image 1,1,2,
3.87881,um,Surface,Image 1,1,3,
0,um,Surface,Image 1,1,4,
0,um,Surface,Image 1,1,5,
49.5713,um,Surface,Image 1,1,6,
64.7008,um,Surface,Image 1,1,7,
102.865,um,Surface,Image 1,1,8,
91.8075,um,Surface,Image 1,1,9,
136.738,um,Surface,Image 1,1,10,
0,um,Surface,Image 1,1,11,
2.12782,um,Surface,Image 1,1,12,
35.4678,um,Surface,Image 1,1,13,
0,um,Surface,Image 1,1,14,
