
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
964,,Surface,4,Image 1,1,0,
1285,,Surface,4,Image 1,1,1,
1098,,Surface,4,Image 1,1,2,
2005,,Surface,4,Image 1,1,3,
1528,,Surface,4,Image 1,1,4,
1109,,Surface,4,Image 1,1,5,
956,,Surface,4,Image 1,1,6,
1927,,Surface,4,Image 1,1,7,
1578,,Surface,4,Image 1,1,8,
1464,,Surface,4,Image 1,1,9,
1349,,Surface,4,Image 1,1,10,
1688,,Surface,4,Image 1,1,11,
1719,,Surface,4,Image 1,1,12,
1559,,Surface,4,Image 1,1,13,
1519,,Surface,4,Image 1,1,14,
1706,,Surface,4,Image 1,1,15,
