
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
8.34963e+08,,Surface,5,Image 1,1,0,
5.048e+08,,Surface,5,Image 1,1,1,
2.45093e+09,,Surface,5,Image 1,1,2,
4.71573e+07,,Surface,5,Image 1,1,3,
7.95587e+08,,Surface,5,Image 1,1,4,
1.07338e+09,,Surface,5,Image 1,1,5,
7.03289e+08,,Surface,5,Image 1,1,6,
5.24286e+07,,Surface,5,Image 1,1,7,
6.73396e+07,,Surface,5,Image 1,1,8,
1.04527e+09,,Surface,5,Image 1,1,9,
4.14147e+07,,Surface,5,Image 1,1,10,
3.81986e+07,,Surface,5,Image 1,1,11,
1.21989e+08,,Surface,5,Image 1,1,12,
7.27469e+07,,Surface,5,Image 1,1,13,
4.79574e+07,,Surface,5,Image 1,1,14,
1.36628e+08,,Surface,5,Image 1,1,15,
