
Intensity StdDev Ch=3 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
3020.78,,Surface,3,Image 1,1,0,
4127.1,,Surface,3,Image 1,1,1,
1898.15,,Surface,3,Image 1,1,2,
3640.2,,Surface,3,Image 1,1,3,
3039.46,,Surface,3,Image 1,1,4,
6502.13,,Surface,3,Image 1,1,5,
3768.37,,Surface,3,Image 1,1,6,
3695.46,,Surface,3,Image 1,1,7,
1995.99,,Surface,3,Image 1,1,8,
2581.97,,Surface,3,Image 1,1,9,
2253.48,,Surface,3,Image 1,1,10,
3869.37,,Surface,3,Image 1,1,11,
3851.41,,Surface,3,Image 1,1,12,
2822.75,,Surface,3,Image 1,1,13,
3604.49,,Surface,3,Image 1,1,14,
2456.73,,Surface,3,Image 1,1,15,
3514.64,,Surface,3,Image 1,1,16,
3916.91,,Surface,3,Image 1,1,17,
4169.33,,Surface,3,Image 1,1,18,
3458.23,,Surface,3,Image 1,1,19,
