
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
78,,Surface,2,Image 1,1,0,
68,,Surface,2,Image 1,1,1,
276,,Surface,2,Image 1,1,2,
260,,Surface,2,Image 1,1,3,
82,,Surface,2,Image 1,1,4,
358,,Surface,2,Image 1,1,5,
54,,Surface,2,Image 1,1,6,
27,,Surface,2,Image 1,1,7,
235,,Surface,2,Image 1,1,8,
153,,Surface,2,Image 1,1,9,
91,,Surface,2,Image 1,1,10,
308,,Surface,2,Image 1,1,11,
64,,Surface,2,Image 1,1,12,
56,,Surface,2,Image 1,1,13,
251,,Surface,2,Image 1,1,14,
312,,Surface,2,Image 1,1,15,
30,,Surface,2,Image 1,1,16,
693,,Surface,2,Image 1,1,17,
74,,Surface,2,Image 1,1,18,
65,,Surface,2,Image 1,1,19,
