
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.645648,,Surface,1,0,
0.872653,,Surface,1,1,
0.640198,,Surface,1,2,
0.524261,,Surface,1,3,
0.657128,,Surface,1,4,
0.794993,,Surface,1,5,
0.655547,,Surface,1,6,
0.584217,,Surface,1,7,
0.300463,,Surface,1,8,
0.212385,,Surface,1,9,
0.42043,,Surface,1,10,
0.613427,,Surface,1,11,
0.413509,,Surface,1,12,
0.701362,,Surface,1,13,
0.714944,,Surface,1,14,
0.454247,,Surface,1,15,
0.393384,,Surface,1,16,
0.300657,,Surface,1,17,
0.529725,,Surface,1,18,
0.809931,,Surface,1,19,
