
Intensity Median Ch=7 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
15.3518,,Surface,7,Image 1,1,0,
4.5355,,Surface,7,Image 1,1,1,
0,,Surface,7,Image 1,1,2,
4.6955,,Surface,7,Image 1,1,3,
0,,Surface,7,Image 1,1,4,
4.5285,,Surface,7,Image 1,1,5,
13.828,,Surface,7,Image 1,1,6,
0,,Surface,7,Image 1,1,7,
0,,Surface,7,Image 1,1,8,
0,,Surface,7,Image 1,1,9,
0,,Surface,7,Image 1,1,10,
20.808,,Surface,7,Image 1,1,11,
5.215,,Surface,7,Image 1,1,12,
0,,Surface,7,Image 1,1,13,
0,,Surface,7,Image 1,1,14,
6.037,,Surface,7,Image 1,1,15,
0,,Surface,7,Image 1,1,16,
23.7998,,Surface,7,Image 1,1,17,
17.78,,Surface,7,Image 1,1,18,
9.8075,,Surface,7,Image 1,1,19,
